Category,Date,Total Export Value,China Export Value,Total Import Value,China Import Value
001 Live animals (excl seafood),2018-07,126601.34400000001,11889.209,10076.14,
001 Live animals (excl seafood),2018-08,159101.513,27470.077,10415.557999999999,
001 Live animals (excl seafood),2018-09,142605.35500000004,24970.129,16870.449,
001 Live animals (excl seafood),2018-10,180870.9130000001,30871.404,7722.901,
001 Live animals (excl seafood),2018-11,180009.693,12174.56,32032.803,
001 Live animals (excl seafood),2018-12,187623.55899999998,53611.897,6281.706000000001,
001 Live animals (excl seafood),2019-01,155111.75699999998,9332.43,27717.306999999997,
001 Live animals (excl seafood),2019-02,156590.972,20549.369,17882.477,
001 Live animals (excl seafood),2019-03,157553.278,21846.64,9693.155999999999,
001 Live animals (excl seafood),2019-04,145374.10499999998,39284.27,2824.46,
001 Live animals (excl seafood),2019-05,197402.80400000006,32794.81,13311.345,
001 Live animals (excl seafood),2019-06,167498.608,23634.81,10048.866,
001 Live animals (excl seafood),2019-07,171773.98399999997,22589.31,12836.322,
001 Live animals (excl seafood),2020-01,164129.87699999998,,19622.134000000002,
001 Live animals (excl seafood),2020-02,183325.50900000002,30308.026,17644.083,
001 Live animals (excl seafood),2020-03,175879.76399999997,28029.74,8064.7480000000005,
001 Live animals (excl seafood),2020-04,170599.04100000003,16133.019,12.1,
001 Live animals (excl seafood),2020-05,201479.02999999997,54522.99,2416.9820000000004,
001 Live animals (excl seafood),2020-06,189308.84900000002,28103.94,17750.79,
001 Live animals (excl seafood),2020-07,113683.51999999999,8915.01,19292.835000000003,
001 Live animals (excl seafood),2020-08,133620.546,31355.26,20965.453999999998,
001 Live animals (excl seafood),2020-09,143081.83,27259.88,8156.638,
001 Live animals (excl seafood),2020-10,182513.966,57390.65,12331.240999999998,
001 Live animals (excl seafood),2020-11,114886.4,,15644.688,
001 Live animals (excl seafood),2020-12,176174.89399999997,43024,15276.397,
001 Live animals (excl seafood),2021-01,154869.012,22551.45,12817.381999999998,
001 Live animals (excl seafood),2021-02,111830.71099999998,23435.89,16759.262000000002,
"011 Beef, f.c.f.",2018-07,804620.6000000002,122597.181,1460.032,
"011 Beef, f.c.f.",2018-08,832957.5559999999,114895.071,1510.8729999999998,
"011 Beef, f.c.f.",2018-09,735133.8089999999,109955.571,749.3370000000001,
"011 Beef, f.c.f.",2018-10,763477.8109999999,121418.719,2245.924,
"011 Beef, f.c.f.",2018-11,744723.144,116702.14,1409.7910000000002,
"011 Beef, f.c.f.",2018-12,848267.6690000001,152281.424,1305.463,
"011 Beef, f.c.f.",2019-01,488641.04899999994,93425.01,1247.991,
"011 Beef, f.c.f.",2019-02,707593.4370000004,151706.231,2108.553,
"011 Beef, f.c.f.",2019-03,919239.721,184836.31,1413.315,
"011 Beef, f.c.f.",2019-04,829544.8299999998,181756.86,1247.185,
"011 Beef, f.c.f.",2019-05,871742.6989999999,191746.55,1643.199,
"011 Beef, f.c.f.",2019-06,929911.5229999998,210418.32,754.524,
"011 Beef, f.c.f.",2019-07,1003849.842,239913.78,1060.644,
"011 Beef, f.c.f.",2020-01,679197.4230000001,196608.182,1112.979,
"011 Beef, f.c.f.",2020-02,911655.1280000004,188748.907,2382.895,
"011 Beef, f.c.f.",2020-03,948078.018,178701.63,1532.5929999999998,
"011 Beef, f.c.f.",2020-04,841834.9439999999,211267.928,3740.9669999999996,
"011 Beef, f.c.f.",2020-05,957806.3250000002,233009.98,1329.15,
"011 Beef, f.c.f.",2020-06,856285.4500000002,172588.48,1480.181,
"011 Beef, f.c.f.",2020-07,753616.198,115548.081,2842.8520000000003,
"011 Beef, f.c.f.",2020-08,783717.6469999999,138573.85,2352.99,
"011 Beef, f.c.f.",2020-09,604758.6410000001,96130.65,3083.848,
"011 Beef, f.c.f.",2020-10,741382.4479999997,121838.4,4182.7519999999995,
"011 Beef, f.c.f.",2020-11,731886.595,118063.95,6583.058999999999,
"011 Beef, f.c.f.",2020-12,788103.791,153514.22,5475.3730000000005,
"011 Beef, f.c.f.",2021-01,457704.02600000007,94655.46,7051.304,
"011 Beef, f.c.f.",2021-02,604558.7879999998,127827.71,3878.1670000000004,
"012 Meat (excl beef), f.c.f.",2018-07,366969.834,56133.327,36601.331999999995,
"012 Meat (excl beef), f.c.f.",2018-08,416415.82499999995,63783.456,40787.914,
"012 Meat (excl beef), f.c.f.",2018-09,450313.61699999997,81305.727,39080.774000000005,
"012 Meat (excl beef), f.c.f.",2018-10,425423.6020000001,72954.243,44721.269,
"012 Meat (excl beef), f.c.f.",2018-11,443712.143,84260.18,49279.17300000001,
"012 Meat (excl beef), f.c.f.",2018-12,452984.2590000001,91073.084,53600.431000000004,
"012 Meat (excl beef), f.c.f.",2019-01,358990.3119999999,54474.766,74569.027,
"012 Meat (excl beef), f.c.f.",2019-02,439520.40800000005,79545.845,54914.144,
"012 Meat (excl beef), f.c.f.",2019-03,469453.907,88889.51,69643.772,
"012 Meat (excl beef), f.c.f.",2019-04,464154.1439999999,99904.04,64921.40299999999,
"012 Meat (excl beef), f.c.f.",2019-05,431517.85800000007,81541.6,76639.109,
"012 Meat (excl beef), f.c.f.",2019-06,431134.00399999984,88298.81,65619.056,
"012 Meat (excl beef), f.c.f.",2019-07,358609.513,72616.61,67599.41,
"012 Meat (excl beef), f.c.f.",2020-01,443895.47600000014,88534.193,85141.20599999999,
"012 Meat (excl beef), f.c.f.",2020-02,497433.05799999996,65041.139,74063.91100000001,
"012 Meat (excl beef), f.c.f.",2020-03,500349.5739999999,87224.91,84329.17700000001,
"012 Meat (excl beef), f.c.f.",2020-04,430521.7960000001,105342.354,71296.55700000002,
"012 Meat (excl beef), f.c.f.",2020-05,372856.89200000005,91616.83,46998.123,
"012 Meat (excl beef), f.c.f.",2020-06,351801.26100000006,72182.18,44877.380000000005,
"012 Meat (excl beef), f.c.f.",2020-07,304265.102,42899.949,31788.368999999995,
"012 Meat (excl beef), f.c.f.",2020-08,359197.0409999999,59700.43,38570.969000000005,
"012 Meat (excl beef), f.c.f.",2020-09,358372.03399999987,75538.57,51428.725,
"012 Meat (excl beef), f.c.f.",2020-10,455453.02100000007,107175.87,58868.409,
"012 Meat (excl beef), f.c.f.",2020-11,457167.782,117098.03,58556.44700000001,
"012 Meat (excl beef), f.c.f.",2020-12,445331.1589999999,106449.28,54747.95599999999,
"012 Meat (excl beef), f.c.f.",2021-01,273942.29,53089.01,48333.84299999999,
"012 Meat (excl beef), f.c.f.",2021-02,414870.815,102597.73,49004.257,2.52
"016 Meat, salted or dried",2018-07,376.13199999999995,,3382.167,
"016 Meat, salted or dried",2018-08,175.99,,5357.545,
"016 Meat, salted or dried",2018-09,293.16700000000003,,3347.904,
"016 Meat, salted or dried",2018-10,296.7180000000001,,5243.702,
"016 Meat, salted or dried",2018-11,73.526,,5197.201999999999,
"016 Meat, salted or dried",2018-12,81.97699999999999,,4112.816,
"016 Meat, salted or dried",2019-01,76.975,,4026.5939999999996,
"016 Meat, salted or dried",2019-02,50.742,,2938.441,
"016 Meat, salted or dried",2019-03,84.931,,3155.601,
"016 Meat, salted or dried",2019-04,96.869,,2642.448,
"016 Meat, salted or dried",2019-05,138.385,,3356.5329999999994,
"016 Meat, salted or dried",2019-06,124.64099999999999,,2889.004,
"016 Meat, salted or dried",2019-07,169.438,,2559.681,
"016 Meat, salted or dried",2020-01,60.494,,2767.46,
"016 Meat, salted or dried",2020-02,329.788,,2522.195,
"016 Meat, salted or dried",2020-03,70.038,,4494.726,
"016 Meat, salted or dried",2020-04,55.513999999999996,,2940.7110000000002,
"016 Meat, salted or dried",2020-05,199.51499999999996,,3147.295,2.295
"016 Meat, salted or dried",2020-06,60.652,,2408.4179999999997,
"016 Meat, salted or dried",2020-07,391.50800000000004,,2393.073,
"016 Meat, salted or dried",2020-08,163.38899999999998,,2867.902,
"016 Meat, salted or dried",2020-09,76.13399999999999,,2031.6709999999998,
"016 Meat, salted or dried",2020-10,225.25300000000001,,3002.3480000000004,
"016 Meat, salted or dried",2020-11,141.51199999999997,,4526.805,
"016 Meat, salted or dried",2020-12,44.254,,6248.581,
