Category,Date,Total Export Value,China Export Value,Total Import Value,China Import Value,Exports of goods and services: Percentage changes ;.1,Imports of goods and services: Percentage changes ;.1,GROSS DOMESTIC PRODUCT: Percentage changes ;.1,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;
001 Live animals (excl seafood),2018-09,142605.35500000004,24970.129,16870.449,,1.3,-1.3,0.4,1.9
"011 Beef, f.c.f.",2018-09,735133.8089999999,109955.571,749.3370000000001,,1.3,-1.3,0.4,1.9
"012 Meat (excl beef), f.c.f.",2018-09,450313.61699999997,81305.727,39080.774000000005,,1.3,-1.3,0.4,1.9
"016 Meat, salted or dried",2018-09,293.16700000000003,,3347.904,,1.3,-1.3,0.4,1.9
"017 Meat, prepared or preserved",2018-09,10682.734,151.359,11232.164000000002,128.647,1.3,-1.3,0.4,1.9
"022 Milk, cream, whey & yoghurt",2018-09,103793.02200000003,31430.032,33529.97900000001,1501.035,1.3,-1.3,0.4,1.9
023 Butter,2018-09,7279.197,1280.252,24646.422000000002,,1.3,-1.3,0.4,1.9
024 Cheese & curd,2018-09,84761.23499999997,9290.878,41144.045999999995,,1.3,-1.3,0.4,1.9
025 Birds' eggs,2018-09,1862.509,,1588.3159999999998,109.951,1.3,-1.3,0.4,1.9
"034 Fish, f.c.f.",2018-09,29958.165999999994,14768.609,40444.653000000006,2828.099,1.3,-1.3,0.4,1.9
"035 Fish, salted or dried",2018-09,245.881,,6553.429999999999,16.979,1.3,-1.3,0.4,1.9
"036 Crustaceans, f.c.f.",2018-09,62379.11499999999,43464.326,48134.082,15157.919,1.3,-1.3,0.4,1.9
"037 Seafood, prepared or preserved",2018-09,4639.255,,70838.916,7760.178,1.3,-1.3,0.4,1.9
041 Wheat,2018-09,320154.815,496.12,77.637,,1.3,-1.3,0.4,1.9
042 Rice,2018-09,26671.525,,19742.544,130.453,1.3,-1.3,0.4,1.9
043 Barley,2018-09,30290.386,203.796,9.943000000000001,7.849,1.3,-1.3,0.4,1.9
044 Maize,2018-09,1263.18,15.84,235.197,,1.3,-1.3,0.4,1.9
045 Other cereals,2018-09,4472.634000000001,3486.631,664.218,83.813,1.3,-1.3,0.4,1.9
046 Wheat flour,2018-09,1651.5949999999996,205.849,1796.1739999999995,13.908,1.3,-1.3,0.4,1.9
047 Other cereal flours,2018-09,720.5929999999998,39.157,1637.9099999999999,14.642,1.3,-1.3,0.4,1.9
048 Cereal preparations,2018-09,79731.88499999998,4063.131,112935.775,6111.698,1.3,-1.3,0.4,1.9
"054 Vegetables, f.c.f.",2018-09,88298.70100000003,282.047,20482.013000000006,3512.079,1.3,-1.3,0.4,1.9
"056 Vegetables, prepared or preserved",2018-09,10069.576,147.593,58162.665,6450.397,1.3,-1.3,0.4,1.9
057 Fruit & nuts,2018-09,188868.28300000002,59502.596,88167.92599999999,2431.346,1.3,-1.3,0.4,1.9
"058 Fruit, prepared or preserved",2018-09,8911.369000000002,1131.962,44663.113000000005,5716.873,1.3,-1.3,0.4,1.9
059 Fruit juices,2018-09,4350.747999999998,503.667,15863.388000000003,3729.285,1.3,-1.3,0.4,1.9
"061 Sugars, molasses & honey",2018-09,22369.322999999997,1459.69,15905.229000000001,2564.38,1.3,-1.3,0.4,1.9
062 Sugar confectionery,2018-09,7671.7699999999995,5.091,29305.394,8338.899,1.3,-1.3,0.4,1.9
071 Coffee & substitutes,2018-09,6244.275000000001,128.936,74329.42900000003,913.582,1.3,-1.3,0.4,1.9
072 Cocoa,2018-09,159.374,1.898,25014.878999999997,19.364,1.3,-1.3,0.4,1.9
073 Chocolate & preparations of cocoa,2018-09,34061.316999999995,938.592,63159.326,4049.081,1.3,-1.3,0.4,1.9
074 Tea & mate,2018-09,1391.7109999999998,19.585,11619.627,2256.616,1.3,-1.3,0.4,1.9
075 Spices,2018-09,2334.1779999999994,13.253,6388.478999999999,669.339,1.3,-1.3,0.4,1.9
081 Animal feed,2018-09,110351.29299999999,12488.539,92697.884,2588.388,1.3,-1.3,0.4,1.9
091 Margarine,2018-09,9174.760000000002,228.71,3760.5359999999996,30.421,1.3,-1.3,0.4,1.9
"098 Edible products & preparations, nes",2018-09,236803.19699999996,124465.838,256998.58,17022.281,1.3,-1.3,0.4,1.9
"111 Non-alcoholic beverages, nes",2018-09,7010.2789999999995,300.302,33246.753000000004,605.808,1.3,-1.3,0.4,1.9
